Scenario,ScenarioDisplay,Network,Layer,LayerIndex,K,H_C,NImages,NPC,H_Ysub,I_C_Ysub,H_Ysub_given_C,NMI_Ysub,H_Ybasic,I_C_Ybasic,H_Ybasic_given_C,NMI_Ybasic,H_A,I_C_A,H_A_given_C,NMI_A,H_V,I_C_V,H_V_given_C,NMI_V
clean_only,Clean-only object run,resnet50,activation_1_relu,1,2,0.971145248028616,3000,30,3.32192809488736,0.171207557059409,3.15072053782795,0.0515386101592348,0.970950594454669,0.127550433409081,0.843400161045588,0.131366553702683,1.15677964944704,0.0846285372499592,1.07215111219708,0.0731587362298542,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_1_relu,1,3,1.48348266517138,3000,30,3.32192809488736,0.221971405141023,3.09995668974634,0.0668200511271298,0.970950594454669,0.174635885231912,0.796314709222756,0.179860732594737,1.15677964944704,0.0960721331983123,1.06070751624873,0.0830513687237119,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_1_relu,1,4,1.89407359322371,3000,30,3.32192809488736,0.231898103264104,3.09002999162326,0.0698082850200787,0.970950594454669,0.184544397593532,0.786406196861137,0.190065692989436,1.15677964944704,0.0986748020507187,1.05810484739632,0.0853012949336435,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_1_relu,1,10,3.128612705662,3000,30,3.32192809488736,0.364541253374172,2.95738684151319,0.109737851922569,0.970950594454669,0.213979467779349,0.75697112667532,0.220381416934535,1.15677964944704,0.153700374402109,1.00307927504493,0.132869189456765,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_10_relu,2,2,0.921266663007298,3000,30,3.32192809488736,0.230953241872958,3.0909748530144,0.0695238533995989,0.970950594454669,0.158527201460796,0.812423392993873,0.16327010083333,1.15677964944704,0.138026608926106,1.01875304052093,0.119319707078254,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_10_relu,2,3,1.443732236925,3000,30,3.32192809488736,0.244821834869927,3.07710626001744,0.0736987158893419,0.970950594454669,0.154559867883936,0.816390726570733,0.159184070504374,1.15677964944704,0.141422408965278,1.01535724048176,0.122255270511442,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_10_relu,2,4,1.85744460930149,3000,30,3.32192809488736,0.307818267815675,3.01410982707169,0.092662531825847,0.970950594454669,0.168102221417174,0.802848373037494,0.173131591223329,1.15677964944704,0.164370347937659,0.99240930150938,0.14209304945521,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_10_relu,2,10,3.28449549019359,3000,30,3.32192809488736,0.674194830065129,2.64773326482223,0.202952866771184,0.970950594454669,0.388157299710051,0.582793294744618,0.399770391950847,1.15677964944704,0.22873598937732,0.92804366006972,0.197735142977887,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_22_relu,3,2,0.857711833497397,3000,30,3.32192809488736,0.190097331093208,3.13183076379415,0.0572249987547228,0.970950594454669,0.102105870024233,0.868844724430436,0.105160726619237,1.15677964944704,0.142099278845633,1.01468037060141,0.122840403454157,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_22_relu,3,3,1.47570698303794,3000,30,3.32192809488736,0.496129500349374,2.82579859453799,0.149349861338945,0.970950594454669,0.383987738792017,0.586962855662652,0.395476083937805,1.15677964944704,0.159491219796486,0.997288429650553,0.137875195049226,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_22_relu,3,4,1.96292988324136,3000,30,3.32192809488736,0.657225107393022,2.66470298749434,0.197844471228781,0.970950594454669,0.437753808241521,0.533196786213148,0.45085075465388,1.15677964944704,0.178548655647573,0.978230993799467,0.154349755143879,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_22_relu,3,10,3.20277298071802,3000,30,3.32192809488736,0.838015698077124,2.48391239681024,0.252267861958505,0.970950594454669,0.445527738331229,0.52542285612344,0.45885726923259,1.15677964944704,0.269957750535604,0.886821898911435,0.23337007239421,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_40_relu,4,2,0.844792933049937,3000,30,3.32192809488736,0.173532514689144,3.14839558019822,0.0522384921444328,0.970950594454669,0.0738378219681765,0.897112772486492,0.0760469403797495,1.15677964944704,0.138707907865677,1.01807174158136,0.119908668804799,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_40_relu,4,3,1.44952391492437,3000,30,3.32192809488736,0.716852294258507,2.60507580062886,0.215794043032353,0.970950594454669,0.549290231152461,0.421660363302207,0.565724182352418,1.15677964944704,0.184890779733232,0.971888869713808,0.159832324005365,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_40_relu,4,4,1.95700535234486,3000,30,3.32192809488736,0.880220952979059,2.4417071419083,0.264972909658632,0.970950594454669,0.58682602530404,0.384124569150629,0.604382991941654,1.15677964944704,0.211518887847877,0.945260761599162,0.18285149462042,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_40_relu,4,10,3.11884494317962,3000,30,3.32192809488736,1.19133298246182,2.13059511242554,0.358626962544841,0.970950594454669,0.623287973291303,0.347662621163366,0.641935827477783,1.15677964944704,0.322215698226905,0.834563951220135,0.278545441546218,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_49_relu,5,2,0.977879520068234,3000,30,3.32192809488736,0.776277009152066,2.5456510857353,0.233682664699095,0.970950594454669,0.758118815071863,0.212831779382806,0.780800608601159,1.15677964944704,0.140843607671741,1.0159360417753,0.12175491480946,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_49_relu,5,3,1.45382922616779,3000,30,3.32192809488736,0.978313790574817,2.34361430431255,0.29450179613475,0.970950594454669,0.765000029728953,0.205950564725715,0.787887699022022,1.15677964944704,0.159393648984566,0.997386000462473,0.137790848119397,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_49_relu,5,4,1.89573911680025,3000,30,3.32192809488736,1.2573213182012,2.06460677668617,0.378491430966337,0.970950594454669,0.771224087557632,0.199726506897037,0.79429797145424,1.15677964944704,0.39876125319836,0.75801839624868,0.344716691194364,-0,0,0,0
clean_only,Clean-only object run,resnet50,activation_49_relu,5,10,3.29517625317759,3000,30,3.32192809488736,1.72911469714603,1.59281339774133,0.520515389784397,0.970950594454669,0.778294919546981,0.192655674907688,0.801580352277458,1.15677964944704,0.532774677013915,0.624004972433124,0.460567124662498,-0,0,0,0
clean_only,Clean-only object run,resnet50,avg_pool,6,2,0.980510717879657,3000,30,3.32192809488736,0.753993712591873,2.56793438229549,0.226974724032201,0.970950594454669,0.74026797262776,0.230682621826908,0.762415695356291,1.15677964944704,0.137725508210359,1.01905414123668,0.119059414881818,-0,0,0,0
clean_only,Clean-only object run,resnet50,avg_pool,6,3,1.49346269807716,3000,30,3.32192809488736,1.02927323434873,2.29265486053863,0.30984211727305,0.970950594454669,0.761790177250152,0.209160417204516,0.784581812505104,1.15677964944704,0.161243638312927,0.995536011134112,0.13939010630936,-0,0,0,0
